Document,Primary Introducer,Status,Description,Date Introduced
LR418,Howard,Referral,Provide the Executive Board of the Legislative Council appoint a special committee to be known as the ACCESSNebraska Oversight Committee of the Legislature,2016-01-21
LR419,Larson,,Congratulate the Crofton High School girls' cross country team on winning the 2015 Class D state championship,2016-01-22
LR420,Larson,,Congratulate the Hartington-Newcastle High School play production team for winning the 2015 Class C-2 state championship,2016-01-22
LB505A,Krist,Passed,Appropriation Bill,2016-01-25
LR421,Kolowski,,Congratulate the Millard West High School Marching Band on their accomplishments and on being named Grand Champion at the 2015 National Funding Holiday Bowl,2016-01-25
LR422,Campbell,,Congratulate the Lincoln Electric System and all of its present and past employees and board members on its 50th anniversary of operation in Lincoln,2016-01-25
LR423,Kolterman,,Congratulate Elaine and Bud Stuhr on their 60th wedding anniversary,2016-01-26
LR424,Kolowski,,Congratulate Sean Lynch II for being chosen as a Nebraska delegate to the United States Senate Youth Program,2016-01-28
LR425,Pansing Brooks,,Congratulate Lincoln High School for receiving a 2015 NebraskARTS Award,2016-01-28
LR426,Mello,,Designate February 2016 as Career and Technical Education Month in the State of Nebraska,2016-01-28
LR427,Cook,,Congratulate Dr. Glenda Baskin Glover for her outstanding service with the Alpha Kappa Alpha Sorority,2016-02-01
LR428,Davis,,Congratulate the Hyannis Area Schools for receiving a 2015 NebraskARTS Award,2016-02-01
LR429,Cook,,Congratulate Cynthia Butler-McIntyre for her outstanding service with Delta Sigma Theta Sorority,2016-02-03
LB510A,Cook,Indefinitely postponed,Appropriation Bill,2016-02-04
LR430,Scheer,Referral,Interim study to examine whether the Nebraska Banking Act should be updated,2016-02-04
LR431,Scheer,Referral,Interim study to examine whether the Securities Act of Nebraska should be updated,2016-02-04
LR432,Kolterman,,Congratulate Isabella Graves on being elected Miss Junior National Association of the Deaf Ambassador,2016-02-04
LR433,Riepe,,Congratulate Nathan Andrew Richards on achieving the rank of Eagle Scout,2016-02-05
LB814A,Friesen,Passed,Appropriation Bill,2016-02-08
LB371A,Sullivan,Indefinitely postponed,Appropriation Bill,2016-02-10
LR434,Ebke,,Congratulate Nathaniel Stapaules on achieving the rank of Eagle Scout,2016-02-11
LR435,Kolterman,,Congratulate Ryan Kopsa on achieving the rank of Eagle Scout,2016-02-11
LR436,Krist,,Recognize March 2016 as Problem Gambling Awareness Month in Nebraska,2016-02-16
LR437,Hadley,,Congratulate the recipients of the Distinguished NEBRASKAlander Award and extend appreciation for their service to the State of Nebraska,2016-02-17
LR438,Kolowski,,Congratulate Abby Gilreath on being named Nebraska's winner of the Doodle 4 Google contest and wish her luck in the national finals,2016-02-17
LR439,Crawford,Referral,Interim study to examine the use of tax-increment financing by municipalities for residential development,2016-02-18
LR440,Garrett,,Commend Justice Antonin Gregory Scalia for his life of service,2016-02-19
LR441,Seiler,,Congratulate the students and teachers at Morton Elementary School for gaining prestigious recognition as a National Model Professional Learning Community School,2016-02-19
LR442,McCollister,,"Recognize February 21-27, 2016, as Engineers Week in Nebraska",2016-02-19
LR443,Kolowski,,Congratulate Golden Kelly for receiving a 2016 Prudential Spirit of Community Award,2016-02-22
LR444,Kolowski,,Congratulate Grace Kelly for being named a Distinguished Finalist for the 2016 Prudential Spirit of Community Award,2016-02-22
LB447A,Kolterman,Passed,Appropriation Bill,2016-02-23
LB770A,Groene,Passed,Appropriation Bill,2016-02-23
LB867A,Watermeier,Passed,Appropriation Bill,2016-02-23
LR445,Davis,,Congratulate Gideon Monette on his state wrestling championship,2016-02-23
LR446,Schnoor,,Congratulate Andrew J. Poppe on achieving the rank of Eagle Scout,2016-02-23
LR447,Ebke,,Congratulate Elliot James Erdkamp on achieving the rank of Eagle Scout,2016-02-23
LR448,Ebke,,Congratulate Broc Edward Mueller on achieving the rank of Eagle Scout,2016-02-23
LB831A,Hansen,Indefinitely postponed,Appropriation Bill,2016-02-24
LB919A,Williams,Passed,Appropriation Bill,2016-02-24
LR449,Stinner,,Congratulate Mario Ybarra on his state wrestling championship,2016-02-24
LR450,Johnson,,Congratulate the David City High School wrestling team on winning the 2016 Class C state championship,2016-02-24
LB914A,Schilz,Indefinitely postponed,Appropriation Bill,2016-02-25
LR451,Stinner,,Congratulate Quentin Munoz on achieving the rank of Eagle Scout,2016-02-25
LR452,Bolz,Referral,"Interim study to establish a study group to examine issues surrounding the need to provide financial assistance for home accessibility modifications for people with disabilities, including the elderly",2016-02-25
LR453,Stinner,,Congratulate Grady Sherrell on achieving the rank of Eagle Scout,2016-02-25
LR454,Campbell,,Congratulate My'Kah Knowlin for receiving a 2016 Prudential Spirit of Community Award,2016-02-25
LR455,Haar,Referral,Provide the Executive Board of the Legislative Council appoint a special committee to examine issues related to the impacts of climate change on the State of Nebraska,2016-02-25
LR456,Bolz,,"Congratulate the Lincoln Southeast High School ""We the People"" team and their teacher, Zach Wojtowicz, on winning the 2016 Nebraska state competition",2016-02-29
LR457,Scheer,,Congratulate the University of Nebraska Women's Volleyball Team for their outstanding season and for winning the 2015 NCAA Division I Women's Volleyball championship,2016-02-29
LB746A,Campbell,Passed,Appropriation Bill,2016-03-01
LR458,Johnson,,Acknowledge the partnerships established by the National Historical Preservation Act during the year of the 50th anniversary of its passage,2016-03-01
LB851A,McCollister,Passed,Appropriation Bill,2016-03-02
LB934A,Coash,Passed,Appropriation Bill,2016-03-02
LR459,Larson,,Congratulate Drew Loberg on his state wrestling championship,2016-03-03
LR460,Larson,,Congratulate Jason Hahlbeck on his state wrestling championship,2016-03-03
LR461,Larson,,Congratulate Bailey Thompson on his state wrestling championship,2016-03-03
LR462,Hadley,,"Proclaim March 15, 2016, as Canada Day at the Nebraska State Capitol",2016-03-03
LR463,Campbell,Referral,Interim study to examine ways to improve the coverage of hearing aid costs for Nebraska families,2016-03-03
LR464,Groene,Referral,Interim study to examine the effects of the use of tax-increment financing by municipalities,2016-03-03
LB900A,Bloomfield,Indefinitely postponed,Appropriation Bill,2016-03-07
LB938A,Smith,Passed,Appropriation Bill,2016-03-07
LR465,McCollister,,"Congratulate Donna D'Ottavio, Gary Brown, Mikayla Mancuso, Alysen Hansen, Sarah Ulsher, and Cyndi Mattson for being named outstanding volunteers by the Nebraska Library Association",2016-03-07
LR466,Stinner,,"Congratulate Austin Garcia, Roger Martinez, Conner Muhr, and Adam Zamarripa on achieving the rank of Eagle Scout",2016-03-07
LR467,McCoy,,Congratulate the Elkhorn South High School girls' basketball team on winning the 2016 Class B girls' state championship,2016-03-07
LR468,Garrett,,Commend Joey Walther and Colton Patrick for educating young Nebraskans about the economy,2016-03-07
LR469,Hadley,,Congratulate the Kearney Catholic High School girls' basketball team on winning the Class C-1 state basketball championship,2016-03-07
LB910A,Bolz,Indefinitely postponed,Appropriation Bill,2016-03-08
LB1067A,Sullivan,Passed,Appropriation Bill,2016-03-08
LR470,Campbell,,Congratulate the Lincoln East High School girls' basketball team on winning the 2016 Class A girls' state championship,2016-03-08
LB698A,Mello,Passed,Appropriation Bill,2016-03-09
LB886A,Davis,Passed,Appropriation Bill,2016-03-09
LB960A,Smith,Passed,Appropriation Bill,2016-03-09
LB1082A,Schilz,Passed,Appropriation Bill,2016-03-09
LR471,Ebke,,Congratulate Nicholas Martozie on achieving the rank of Eagle Scout,2016-03-09
LR472,Ebke,,Congratulate Riley Owens on achieving the rank of Eagle Scout,2016-03-09
LR473,Ebke,,Congratulate Jack Dinneen on achieving the rank of Eagle Scout,2016-03-09
LR474,Ebke,,Congratulate Michael Coffey on achieving the rank of Eagle Scout,2016-03-09
LR475,Larson,,Congratulate the Wynot High School girls' basketball team on winning the 2016 Class D-2 state championship,2016-03-10
LR476,Larson,,Congratulate the Crofton High School girls' basketball team on winning the 2016 Class C-2 state championship,2016-03-10
LB467A,Kolterman,Passed,Appropriation Bill,2016-03-15
LB722A,Baker,Passed,Appropriation Bill,2016-03-15
LB754A,Crawford,Passed,Appropriation Bill,2016-03-15
LB768A,Garrett,Indefinitely postponed,Appropriation Bill,2016-03-15
LB901A,Kolterman,Indefinitely postponed,Appropriation Bill,2016-03-15
LB908A,Kolterman,Passed,Appropriation Bill,2016-03-15
LB977A,Smith,Passed,Appropriation Bill,2016-03-15
LB1003A,Smith,Indefinitely postponed,Appropriation Bill,2016-03-15
LR477,Seiler,,Congratulate the Hastings St. Cecilia girls' volleyball team on winning the 2015 Class C-2 state championship,2016-03-15
LR478,Kintner,,Congratulate the Lourdes Central Catholic High School boys' basketball team on winning the 2016 Class D-1 state championship,2016-03-15
LR479,Davis,,Recognize the Mari Sandoz High Plains Heritage Center and the Mari Sandoz Heritage Society,2016-03-15
LR480,Johnson,,Congratulate the Bishop Neumann High School boys' basketball team on winning the 2016 Class C-1 state championship,2016-03-15
LR481,Harr,,Congratulate Brother Mike Wilmot and Gesu Housing for receiving a 2016 Community Excellence Award,2016-03-15
LR482,Harr,,Recognize the contributions to public service made by Thomas Francis Cavanaugh and extend sympathy to his family,2016-03-15
LR483,Kolterman,Referral,Interim study to examine the public employees retirement systems administered by the Public Employees Retirement Board,2016-03-15
LR484,Schnoor,,Recognize Staff Sergeant Kenneth M. Morrison for his service and congratulate him on being named a 2015 Outstanding Airman of the Year,2016-03-15
LB680A,Riepe,Passed,Appropriation Bill,2016-03-16
LB783A,Lindstrom,Passed,Appropriation Bill,2016-03-16
LB1038A,Hughes,Passed,Appropriation Bill,2016-03-16
LR485,Mello,,"Designate September 15 through October 15, 2016, as Hispanic Heritage Month in the State of Nebraska",2016-03-16
LR486,Mello,,"Designate March 31, 2016, as Cesar Chavez Day in Nebraska",2016-03-16
LR487,Fox,,Congratulate the Omaha South High Magnet School boys' basketball team on winning the 2016 Class A state championship,2016-03-16
LR488,Ebke,,Congratulate Mark Kroeker on achieving the rank of Eagle Scout,2016-03-16
LR489,Crawford,Referral,Interim study to examine issues relating to housing authorities,2016-03-16
LR490,Crawford,Referral,Interim study to examine the enforcement of state and local building codes,2016-03-16
LR491,Seiler,,Congratulate the Hastings St. Cecilia High School boys' basketball team on winning the 2016 Class C-2 state championship,2016-03-16
LB1098A,Morfeld,Passed,Appropriation Bill,2016-03-17
LB1105A,Larson,Passed,Appropriation Bill,2016-03-17
LR492,Harr,,"Designate March 17, 2016, as Father George Sullivan Day in the State of Nebraska",2016-03-17
LR493,Scheer,Referral,Interim study to examine whether the Nebraska Appraisal Management Company Registration Act should be updated,2016-03-17
LR494,Murante,,Congratulate the Gretna High School boys' basketball team on winning the 2016 Class B state championship,2016-03-17
LB549A,Campbell,Indefinitely postponed,Appropriation Bill,2016-03-18
LB1032A,McCollister,Indefinitely postponed,Appropriation Bill,2016-03-18
LR495,Urban Affairs Committee,Referral,Interim study to examine state law governing cities of the second class and villages in Chapter 17 of the Nebraska statutes,2016-03-18
LR496,Urban Affairs Committee,Referral,Interim study to examine issues within the jurisdiction of the Urban Affairs Committee,2016-03-18
LR497,Watermeier,Referral,Support the advancement of the Elk Creek Superalloy Materials Project into commercial operation,2016-03-18
LR498,Johnson,Referral,Interim study to examine the Nebraska Right to Farm Act,2016-03-21
LR499,Campbell,Referral,Interim study to examine any issues within the jurisdiction of the Health and Human Services Committee,2016-03-21
LR500,Mello,,"Designate April 22, 2016 as Earth Day in the State of Nebraska",2016-03-21
LR501,Mello,,Recognize Senator Beau McCoy for his service as the 2014 Midwestern Legislative Conference Chair and the 2016 National Chair of the Council of State Governments,2016-03-21
LB1083A,Williams,Passed,Appropriation Bill,2016-03-22
LB1103A,Schumacher,Indefinitely postponed,Appropriation Bill,2016-03-22
LR502,Stinner,Referral,Interim study to examine the use of revolving funds within the Dept. of Administrative Services,2016-03-22
LR503,Krist,,Congratulate Ryan Dahlke on achieving the rank of Eagle Scout,2016-03-22
LR504,Murante,Referral,Interim study to examine the numerous deadlines involved in the election process,2016-03-22
LR505,Murante,,Congratulate Simon Thor Gissler on achieving the rank of Eagle Scout,2016-03-22
LR506,Seiler,Referral,"Interim study to examine the efficacy of testing and monitoring programs, particularly the 24/7 sobriety program, in reducing recidivism for driving under the influence and controlled substance offenses",2016-03-22
LR507,Davis,Referral,Interim study to examine the development of a public notification system to broadcast alerts when vulnerable adults go missing,2016-03-22
LR508,Harr,Referral,Interim study to examine possible changes to the Nebraska Model Business Corporation Act,2016-03-22
LR509,Mello,Referral,"Interim study to examine the funding history, programs, and services offered by the Cooperative Extension Service of the University of Nebraska",2016-03-22
LR510,Howard,Referral,Interim study to examine how to best integrate palliative care into the overall medical care structure of our health care system,2016-03-22
LR511,Davis,Referral,Interim study to examine existing law governing the collection of sales and use tax on remote sales,2016-03-22
LR512,Business and Labor Committee,Referral,Interim study to examine the Commission of Industrial Relations,2016-03-22
LR513,Howard,Referral,Interim study to examine workforce issues within the child welfare and juvenile justice systems,2016-03-22
LB774A,Scheer,Passed,Appropriation Bill,2016-03-23
LB1093A,Mello,Passed,Appropriation Bill,2016-03-23
LB1110A,Mello,Final Reading,Appropriation Bill,2016-03-23
LR514,Bolz,Referral,Interim study to examine the availability of transition services for youth who will leave or have left the juvenile justice system while in an out-of-home placement,2016-03-23
LR515,Bolz,,Recognize March 2016 as Professional Social Work Month in Nebraska,2016-03-23
LR516,Kintner,,Congratulate Shaun Brothers on being named the 2016 District II Athletic Director of the Year and receiving the 2015 Outstanding Administrator Award,2016-03-23
LR517,Howard,Referral,Interim study to examine the long-term fiscal sustainability of the Nebraska Health Care Cash Fund,2016-03-23
LR518,Hadley,Referral,Interim study to review issues surrounding child custody proceedings and parenting time determinations as they pertain to families of divorce,2016-03-23
LR519,Smith,Referral,Interim study to examine whether the One-Call Notification System Act should be updated,2016-03-24
LR520,Harr,Referral,Interim study to provide a review of the administration and enforcement of the Employee Classification Act by the Dept. of Labor,2016-03-24
LR521,Fox,Referral,"Interim study to examine the business practices of pharmacy benefit managers as those practices relate to such managers' arrangements with private entities, insurers, pharmacies, and the State of Nebraska",2016-03-24
LR522,Howard,Referral,Interim study to examine the issue of how to best educate the public and create awareness about the risks associated with sun exposure and ultraviolet radiation exposure,2016-03-24
LR523,Howard,Referral,Interim study to examine Nebraska law regarding the protection of children who have reached eighteen years of age but have not yet reached the age of majority,2016-03-24
LR524,Schnoor,,Congratulate David W. Voss on achieving the rank of Eagle Scout,2016-03-24
LR525,Seiler,Referral,Interim study to examine issues associated with treating an individual licensed under the Nebr. Real Estate License Act as a professional for purposes of civil actions for professional negligence,2016-03-24
LR526,Hansen,Referral,Interim study to examine municipal classifications,2016-03-24
LR527,Schumacher,Referral,Interim study to examine possible legislative reforms to Nebraska's mandatory minimum sentencing laws,2016-03-24
LR528,Kuehn,,"Designate April 11, 2016, as Lineworker Appreciation Day in Nebraska",2016-03-24
LB866A,Bolz,Indefinitely postponed,Appropriation Bill,2016-03-29
LR529,Howard,Referral,Interim study to examine the ongoing implementation of the federal Preventing Sex Trafficking and Strengthening Families Act of 2014 and related state law and policy,2016-03-29
LR530,Howard,Referral,Interim study to examine the voting processes and procedures available for citizens who are hospitalized or who reside in nursing homes or extended care facilities,2016-03-29
LR531,Gloor,,Recognize the contributions and achievements of Marcella J. Echternacht in the nursing profession and thank her for her years of service,2016-03-29
LR532,Bolz,Referral,Interim study to evaluate the effectiveness and success of the Office of Violence Prevention,2016-03-29
LR533,Bolz,Referral,Interim study to examine promoting career education and training that can lead to job readiness for middle-skill jobs,2016-03-29
LR534,Haar,Referral,"Interim study to examine the extent that state funds are invested in fossil fuels and clean energy, and the feasibility of divestment consistent with the state's fiduciary responsibilities",2016-03-29
LR535,Johnson,Referral,Interim study to examine how the Legislature can assist livestock producers involved in certain value-added activities,2016-03-29
LR536,Johnson,Referral,Interim study to complete the work of the LR 309 committee which investigated ways to avoid and mitigate conflicts arising from herbicide drift damage to sensitive crops,2016-03-29
LR537,Johnson,Referral,Interim study to review the duties and authorities of the Dept. of Agriculture with respect to livestock animal identification,2016-03-29
LR538,Smith,Referral,Interim study to examine telecommunication services in Nebraska,2016-03-29
LR539,Smith,Referral,Interim study to undertake a study of the jurisdiction and structure of the Nebraska Public Service Commission,2016-03-29
LR540,Hadley,,Extend sympathy to the family of former Senator Daniel Lynch and recognize his contributions and achievements,2016-03-29
LR541,Larson,Referral,Interim study to examine the economic benefits of keno,2016-03-29
LR542,Larson,Referral,Interim study to examine the issues within the jurisdiction of the General Affairs Committee,2016-03-29
LR543,Hansen,Referral,Interim study to examine possible legislative reforms to Nebraska laws relating to birth certificates,2016-03-29
LR544,Crawford,Referral,"Interim study to examine the alternative response demonstration projects created in LB 853, 2014",2016-03-29
LR545,Campbell,Referral,"Interim study to examine medicaid and the Children's Health Insurance Program, with an emphasis on children that are eligible but unenrolled in these programs",2016-03-29
LR546,Garrett,Referral,Interim study to examine whether Nebraska's occupational licensing boards are exposed to liability under antitrust laws,2016-03-29
LR547,Larson,Referral,Create the Tribal Economic Development Committee of the Legislature to conduct a study examining the policy tools available to the Legislature to enhance economic development for the Native American population of Nebraska,2016-03-29
LR548,Riepe,Referral,Interim study to examine issues surrounding youth tobacco use,2016-03-29
LR549,Garrett,Referral,Interim study to examine issues relating to utilization of the U visa program in Nebraska,2016-03-29
LR550,Schumacher,Referral,Interim study to examine the feasibility of creating a common data collection site for county jail information necessary to receive funding under the County Justice Reinvestment Grant Program,2016-03-29
LR551,Krist,Referral,Interim study to explore and assess the use of congregate care in Nebraska for youth in the child welfare and juvenile justice systems,2016-03-29
LR552,Haar,Referral,Interim study to develop a plan to address funding and budgetary issues relating to climate change,2016-03-29
LR553,Riepe,Referral,Interim study to examine issues surrounding the Medicaid Reform Council,2016-03-29
LR554,Kolterman,Referral,Interim study to examine information regarding air ambulance costs,2016-03-29
LR555,Lindstrom,Referral,Interim study to examine the process and procedures used in appeals before the Tax Equalization and Review Commission,2016-03-29
LR556,Harr,Referral,Interim study to examine the conveyances currently covered by the Conveyance Safety Act,2016-03-29
LR557,Garrett,Referral,Interim study to examine what actions the State of Nebraska needs to take to meet the United States Dept. of Defense's mandates regarding energy and renewable resources,2016-03-29
LR558,Harr,Referral,Interim study to evaluate the governance structure of the Nebraska Educational Telecommunications Commission,2016-03-29
LR559,Krist,Referral,Interim study to examine the feasibility and impact of implementing the Civics Education Initiative in Nebraska through legislation or in partnership with the State Board of Education,2016-03-29
LR560,Krist,Referral,Interim study to examine the origins and utility of using court fees as a source of funding in Nebraska,2016-03-29
LR561,Krist,Referral,"Interim study to examine the effectiveness, economic stability, and long-term viability of the Youth Rehabilitation and Treatment Center in Kearney and the Youth Rehabilitation and Treatment Center in Geneva",2016-03-29
LR562,Garrett,Referral,"Interim study to examine why LB 20, LB 357, and LB 454 failed to pass during the 104th legislative session",2016-03-29
LR563,Garrett,Referral,Interim study to examine the reasons for the substantial tax rates on wireless telephone service in Nebraska,2016-03-29
LR564,Pansing Brooks,Referral,Interim study to examine education in Nebraska,2016-03-29
LR565,Pansing Brooks,Referral,Interim study to examine land acquisition within municipalities for educational purposes,2016-03-29
LR566,Pansing Brooks,Referral,"Interim study to examine the availability of education, rehabilitation, and reentry support for incarcerated men and women",2016-03-29
LR567,Pansing Brooks,Referral,Interim study to examine and review the sale of alcohol in Whiteclay and the need for additional funding for law enforcement,2016-03-29
LR568,Pansing Brooks,Referral,"Interim study to examine the membership, role, and duties of the Nebraska Police Standards Advisory Council",2016-03-29
LR569,Johnson,Referral,Interim study to examine the means available to fund the grant program established pursuant to the Livestock Growth Act,2016-03-29
LR570,Johnson,Referral,Interim study to review the duties and authorities of the Dept. of Agriculture to establish an agriculture promotion and development program,2016-03-29
LR571,Nebraska Retirement Systems Committee,Referral,Interim study to examine local political subdivision retirement plans for public employees,2016-03-29
LR572,Riepe,Referral,Interim study to examine issues surrounding the Division of Veterans' Homes of the Dept. of Health and Human Services and wait times for admission to the veterans' homes system,2016-03-29
LR573,Haar,Referral,Interim study to examine the historic and present state of industrial hemp as an alternative crop in Nebraska and its future potential,2016-03-29
LR574,McCollister,Referral,Interim study to examine aspects of Nebraska's medicaid program that include share of cost or resource spend down components,2016-03-29
LR575,McCollister,Referral,Interim study to continue the ongoing study of access to healthcare in Nebraska,2016-03-29
LR576,Pansing Brooks,Referral,Interim study to examine children's access to legal counsel in juvenile proceedings across the state of Nebraska,2016-03-29
LR577,Mello,Referral,Interim study to examine issues under the jurisdiction of the Appropriations Committee,2016-03-29
LR578,Coash,Referral,Interim study to examine the Developmental Disabilities Court-Ordered Custody Act,2016-03-29
LR579,Haar,Referral,Interim study to examine issues relating to solar energy development,2016-03-29
LR580,Stinner,Referral,Interim study to examine the Dept. of Health and Human Services' policies for dealing with disallowances and audit exceptions by the federal government which have resulted in large fines and having to return money to the federal government,2016-03-29
LR581,Kintner,Referral,Interim study to examine the positive and negative effects of federal education funding if Nebraska would choose not to accept federal funds that are tied to federal mandates,2016-03-29
LR582,Riepe,Referral,"Interim study to examine how, through better coordination of health services, the state can better assist low-income individuals currently without insurance",2016-03-29
LR583,Morfeld,Referral,Interim study to examine administrative law judges in Nebraska,2016-03-29
LR584,Morfeld,Referral,Interim study to examine the possibility of providing direct and statewide funding for legal representation in order to provide more equitable access to civil justice in Nebraska,2016-03-29
LR585,Krist,,Congratulate Christine Neighbors on receiving the 2015 Robert Dineen Award,2016-03-29
LR586,Groene,Referral,Interim study to examine the effects of transferring public school employees from the system of district-based health insurance plans to the Nebraska State Insurance Program,2016-03-29
LR587,Sullivan,Referral,Interim study to examine the issues within the jurisdiction of the Education Committee,2016-03-29
LR588,Harr,Referral,Interim study to determine best practices in drafting tax legislation and determining the fiscal impact of tax policies,2016-03-29
LR589,Seiler,Referral,Interim study to examine issues within the jurisdiction of the Judiciary Committee,2016-03-29
LR590,Riepe,Referral,Interim study to examine options to offer incentives to health care professionals who provide free care and services to qualified recipients,2016-03-29
LR591,Hadley,Referral,Interim study to examine and make recommendations on improving health care coverage plans available to Nebraska small businesses with fifty or less employees,2016-03-29
LR592,Gloor,Referral,"Interim study to examine the structure, compliance, and administration of the state individual and corporate income taxes, including financial institution and insurance premium taxes",2016-03-29
LR593,Gloor,Referral,"Interim study to examine the structure, compliance, and administration of real and personal property taxes",2016-03-29
LR594,Gloor,Referral,"Interim study to examine the structure, compliance, and administration of state and local sales and use taxes and any other miscellaneous taxes",2016-03-29
LR595,Hansen,Referral,Interim study to examine the topic of food deserts and issues relating to access to healthy food in Nebraska,2016-03-29
LR596,Murante,Referral,"Interim study to examine issues within the jurisdiction of the Government, Military and Veterans Affairs Committee",2016-03-29
LR597,Murante,Referral,Interim study to examine financing mechanisms available to various political subdivisions to issue bonds or assume future payment obligations without a direct vote of taxpayers,2016-03-29
LR598,Haar,Referral,Interim study to examine issues related to allowing owners and independent repair persons access to software and codes that will allow them to repair electronic devices,2016-03-29
LR599,Haar,Referral,Interim study to review the administrative rate review processes currently conducted by the Public Service Commission,2016-03-29
LR600,Johnson,Referral,Interim study to examine alternatives for valuing agricultural land for property tax purposes,2016-03-29
LR601,Hilkemann,Referral,Review present facilities and determine the needs and options for developing a regional certified crime laboratory in the Omaha area,2016-03-29
LR602,Riepe,Referral,Interim study to examine existing barriers to the delivery of health care services through telehealth technologies in Nebraska,2016-03-29
LR603,Haar,Referral,Interim study to examine the issues faced by residents of mobile home communities,2016-03-29
LR604,Davis,Referral,Interim study to examine inconsistencies in the practices utilized by county assessors in determining agricultural land value,2016-03-29
LR605,Mello,Referral,Interim study to examine issues relating to urban redevelopment,2016-03-29
LB889A,Mello,Passed,Appropriation Bill,2016-03-30
LB959A,Sullivan,Passed,Appropriation Bill,2016-03-30
LR606,Bolz,,Congratulate Al Borchardt on the success of Midland Medical Supply Company and congratulate him on his retirement,2016-03-30
LR607,Cook,,"Designate April 12, 2016, as Equal Pay Day in Nebraska",2016-03-30
LR608,Mello,,Recognize the cultural impact the South Omaha Mural Project has on the City of  Omaha and the State of Nebraska by presenting history through art and collaboration,2016-03-30
LR609,Mello,,Acknowledge the rich history of friendship and commerce between the State of Nebraska and Taiwan,2016-03-30
LR610,Stinner,,Congratulate Andres Canales and Cole Kramer on achieving the rank of Eagle Scout,2016-03-30
LR611,Mello,,"Designate November 15, 2016, as Entrepreneurs' Day in Nebraska",2016-03-31
LR612,Agriculture Committee,Referral,Interim study to examine issues under the jurisdiction of the Agriculture Committee,2016-03-31
LR613,Smith,,Extend sympathy to the family of Jerry C. Anderson,2016-03-31
LR614,Howard,,Congratulate Nate Johnson on achieving the rank of Eagle Scout,2016-03-31
LB884A,Scheer,Withdrawn,Appropriation Bill,2016-04-01
LR615,Hughes,,Congratulate Spencer Hartman on his election as president of the Association of Students at the University of Nebraska-Lincoln,2016-04-01
LR616,Johnson,,Congratulate the David City High School speech team on winning the 2016 Class C-1 state championship,2016-04-04
LR617,Seiler,,Congratulate Hawthorne Elementary School for being recognized as a National Model Professional Learning Community School at Work,2016-04-05
LR618,Bolz,,Congratulate Marilyn Dongilli on her successful career at Madonna Rehabilitation Hospital and on her retirement,2016-04-05
LR619,Davis,,Recognize Pat Gould for his many years of service as Fire Chief of the Chadron Volunteer Fire Department,2016-04-06
LR620,Hansen,,Congratulate Lincoln Northeast High School on its 75th anniversary,2016-04-07
LR621,Garrett,,Recognize Merle Ronald Haggard's contributions to American culture,2016-04-07
LR622,Garrett,,Commend the ROTC and the JROTC programs for over 100 years of service,2016-04-07
LR623,Bolz,,Congratulate Bob Brinker on his retirement and recognize his service to the State of Nebraska,2016-04-12
LR624,McCoy,,Congratulate Douglas County West Elementary School on being recognized as a 2015 National Blue Ribbon School,2016-04-12
LR625,McCoy,,Congratulate the Elkhorn South High School cheer and dance teams on their victories at the 2016 Class B state cheer and dance championships,2016-04-12
LR626,Seiler,,Congratulate Judge William M. Connolly on his retirement,2016-04-13
LR627,Hadley,,Commend Joel Sartore and Michael Forsberg for their efforts to document and conserve our natural resources,2016-04-13
